[2026-03-03 11:46:28,148: INFO: main: Loggin' is implemented]
[2026-03-05 01:05:17,367: INFO: common: YAML file:config/config.yaml loaded successfully]
[2026-03-05 01:05:17,370: INFO: common: YAML file:params.yaml loaded successfully]
[2026-03-05 01:05:17,370: INFO: common: Directory Created at: artifacts]
[2026-03-05 01:05:17,371: INFO: common: Directory Created at: artifacts/data_ingestion]
[2026-03-05 01:05:53,099: INFO: common: YAML file:config/config.yaml loaded successfully]
[2026-03-05 01:05:53,100: INFO: common: YAML file:params.yaml loaded successfully]
[2026-03-05 01:05:53,101: INFO: common: Directory Created at: artifacts]
[2026-03-05 01:05:53,102: INFO: common: Directory Created at: artifacts/data_ingestion]
[2026-03-05 01:06:49,766: INFO: common: YAML file:config/config.yaml loaded successfully]
[2026-03-05 01:06:49,769: INFO: common: YAML file:params.yaml loaded successfully]
[2026-03-05 01:06:49,771: INFO: common: Directory Created at: artifacts]
[2026-03-05 01:06:49,772: INFO: common: Directory Created at: artifacts/data_ingestion]
[2026-03-05 01:08:25,515: INFO: common: YAML file:config/config.yaml loaded successfully]
[2026-03-05 01:08:25,518: INFO: common: YAML file:params.yaml loaded successfully]
[2026-03-05 01:08:25,519: INFO: common: Directory Created at: artifacts]
[2026-03-05 01:08:25,520: INFO: common: Directory Created at: artifacts/data_ingestion]
[2026-03-05 01:08:26,714: INFO: 2864065525: File is downloaded]
[2026-03-05 01:38:03,420: INFO: main: Stage: Data Ingestion stage initiated]
[2026-03-05 01:38:03,421: INFO: common: YAML file:config/config.yaml loaded successfully]
[2026-03-05 01:38:03,421: INFO: common: YAML file:params.yaml loaded successfully]
[2026-03-05 01:38:03,422: INFO: common: Directory Created at: artifacts]
[2026-03-05 01:38:03,422: INFO: common: Directory Created at: artifacts/data_ingestion]
[2026-03-05 01:38:04,477: INFO: data_ingestion: File is downloaded]
[2026-03-05 01:38:04,592: INFO: main: Stage: Data Ingestion stage completed]
